"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United States","USA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.052632328218","15.6360876319893","14.8165797085627","14.938132450851","14.2292009552192","12.7075301945571","11.4655450201837","10.5024370001294","9.46279887589505","8.54347025043247","8.54261137334384","10.3658908404742","8.78001465517985","8.95183955630537","8.70057130495994","9.01399489887478","9.24679886641085","9.0179450771006","8.55286628080645","7.81016173042599","7.44489245554034","7.36990895204524","7.39845479926046","7.07183360052708","6.90125799853896","7.81919857995358","8.45986490031794","8.32906416267146","7.70614913714182","7.89499172342399","10.3423411190622","10.7624435932002","","",
"United States","USA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.5","","76.6169128417969","","76.1194000244141","","77.6119384765625","79.6019897460938","82.211540222168","81.25","74.5192337036133","73.0769195556641","73.0769195556641","72.511848449707","74.407585144043","74.6478881835938","76.5258178710938","73.7089233398438","71.9211807250977","73.8916244506836","74.8768463134766","72.9064025878906","71.8446578979492","70.0483093261719","66.6666641235352","66.1835784912109","67.1497573852539","69.6078414916992",
"United States","USA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","24.2203742203742","24.0494296577947","24.2476354256234","24.2897727272727","23.8067177371833","24.9601699415826","26.5249537892791","26.5631737818025","26.7212504652028","26.5397955429495","27.7879821569142","32.9204693611473","29.4591937069813","26.9984326018809","33.4922368987321","33.1264863843258","34.2759486234612","34.3753706031641","35.5017301038062","36.7940920938315","37.5335120643432","37.8998795341989","39.7342531307293","40.3162980880666","37.8031604728163","37.3534124318038","37.4149977351032","36.6975407218141","35.3455086782599","33.0438360429687","33.5348101375373","31.3251789067655","28.3961227925024","26.6644267638369","25.7547691789555","25.7429589398937","23.8072128062595","22.5217330858981","22.4319827642389","22.0660663053873","23.1533220215516","22.8172702459407","23.2272580484522","24.5111559656175","24.4473497198097","25.7037084487719","25.222682707058","24.0313424638768","23.7987512656892","22.907260264826","10.290776919582","9.17444449133091","15.5373097655324","19.0309159057178",
"United States","USA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","9620000000","10520000000","11630000000","14080000000","16970000000","18830000000","21640000000","23190000000","26870000000","31801300000","38110000000","46020000000","50850000000","51040000000","60414000000","63493000000","74898000000","84322000000","98260000000","115100000000","134280000000","149420000000","160905000000","168259000000","183327000000","200341000000","218553000000","234825000000","240486000000","269778000000","288867000000","275842000000","280408000000","288703000000","332552000000","362907000000","403865000000","474737000000","521706000000","501920000000","562835000000","623199000000","662674000000","697564000000","737356000000","749316000000","764653000000","817549000000","843414000000","868646000000","704320000000","782031000000","919786000000","993825000000",
"United States","USA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","20535000000","20959000000","21616000000","23275000000","26484000000","27374800000","30404400000","31561400000","34564600000","37962000000","43218800000","44142600000","49812500000","71428700000","98597700000","107695000000","115105000000","121348000000","143814000000","182065000000","220913000000","233896000000","212441000000","200593000000","217998000000","213222000000","217426000000","252853000000","319109000000","363546000000","392743000000","421588000000","447215000000","465539000000","512207000000","583021000000","622662000000","687711000000","680522000000","690793000000","772147000000","731026000000","693255000000","723792000000","816546000000","904308000000","1036990000000","1162690000000","1300120000000","1056910000000","1277490000000","1482480000000","1545800000000","1578430000000","1620480000000","1504570000000","1453700000000","1545610000000","1664240000000","1641120000000","1431580000000","","","",
"United States","USA","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","2.80983686389092","2.88658810057732","3.18282753515914","2.77551020408163","2.97538136233197","2.56805529172816","2.79893699596111","2.09116198901189","2.14959814376559","2.39713397608134","2.01764047127639","2.43755465242192","2.35282308657465","2.45699557740796","3.68467012922208","5.65114443567482","4.92941227574823","4.7871411148103","4.83179662619773","2.78356630873589","2.33218506833007","2.87606457570886","3.16426678466021","2.98819001660078","2.70961201478913","2.21806380204669","1.92916210572793","1.75410218585502","1.71489992447722","1.57575052400522","1.35322590090721","1.26725618376235","1.40831591069173","1.36804864898537","1.21271282899297","1.04229521749645","0.948877561180865","0.960098064448584","0.851743220645328","0.77707793796405","0.80567560322063","0.909201587905218","0.880873560233969","0.752702433848398","0.899030795570611","0.907102447396241","1.01941195189925","1.18171653665207","1.24432360089838","1.39216205731803","1.34031577546595","1.22723971466731","1.02965762336654","1.10211674847792","1.15118645043444","0.94398906990037","0.874564449817707","0.826237358583342","0.908951089866846","0.922420805364629","0.825821049120552","","","",
"United States","USA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","26.0871682493304","25.8934109451787","26.929126572909","26.1911922663802","26.0459145144238","24.4531466896562","24.7628632697899","23.6237936213222","22.8424457392824","20.8708708708709","21.2824048793581","21.4330374740047","20.5853952321205","20.8132025362354","24.3910354906859","25.9603509912252","22.9143825203075","21.7195174209711","22.3578372063916","21.1500288358553","24.3515320510789","24.8697284263091","23.0938943047717","20.5854640989466","20.9651464692337","21.0966035399724","19.7256537856558","19.0584252510352","19.3708419380212","19.4869947681999","19.4800671176826","20.6308054308946","23.5819460438492","24.5764801660011","25.3119149094019","24.3150246732107","25.4551104772734","27.1816649726411","27.7033806401556","26.9272126382288","28.6036726167427","29.474601450564","30.0270319002387","30.3224545173199","30.8602454730046","31.0317834189236","32.0498269028631","32.4582820872288","33.7674060855921","35.1815386362131","37.054818433021","37.9732670375992","38.1001652524259","39.334637743644","39.5629434686636","38.8452937314316","38.9625802135241","39.7301598645842","39.2754901144667","38.6257921220874","39.4330345998128","","","",
"United States","USA","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","3.97474148584131","4.0676449327757","4.53292692285744","4.53289874831286","4.39582427726817","4.44412811254761","4.50093662031963","5.03147990952602","5.21072105087804","3.30624734833947","3.08763597135384","3.59623023886981","3.74654617381584","3.35627164331414","2.87842286073938","2.7072826123465","2.92213864719259","3.95763854259628","5.10414510792435","3.05255473730476","2.7254445504212","2.87969206840239","2.87971621680694","2.81506006676623","2.6555660309349","2.55384204001357","","3.21408660909693","3.04268821212894","2.77790675977808","2.30243112932218","2.09421720177806","2.15048546036731","2.62197237487825","2.17800837933151","2.11690771905574","1.90405140377849","1.76567167818683","1.86988994936663","1.91205830386319","1.91170026820431","2.01323529883149","2.39014858804396","2.7857976488932","3.52056099629305","3.73864793129764","3.96871886047058","3.39369213730218","3.95873998985648","4.02265717679681","3.50844555096218","3.21071352130306","3.06248036458276","2.8088360190064","2.60130444554912","2.74624450462334","2.95741195061027","2.8211533321336","3.21390841591217","3.65231110135565","3.07529985951185","2.8511687408118",
"United States","USA","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","3.75183822542366","4.1250641516366","3.49418505430138","3.50513775253345","3.26933921698858","3.54566254677117","3.09216193431342","3.01682199217479","3.744205093446","3.44293412487328","3.16971262813456","2.37808136509323","3.54514319364962","4.212468496815","3.72914030865486","3.54412359294581","2.77012812225569","3.24108226102482","3.73592035444143","4.53751586869299","6.17334460360361","4.91038812628473","4.41973450336194","4.85418230686114","3.97392020545445","3.17126748849486","","2.8238903031564","3.25140191503474","3.012912024288","2.61777454492857","2.21655716454674","1.84602214970637","1.89191251927575","2.07124626296476","1.91675770574592","1.56887699110576","1.52518599921472","1.84678858931191","1.88077482714846","1.83394389932985","2.10931027144065","2.5706533002655","3.31136445717427","3.7372185207955","3.96254132636237","6.48428941235738","5.80419155097004","7.18456843300661","9.92432604469065","10.0636570136531","10.7639934435291","10.9856792186563","8.0034184342575","7.57865354567164","10.510450824598","13.5299938279588","14.1993655796366","12.7159907896534","15.9220948098952","21.4101656084375","18.6774872527635",
